Nr.|Sprecher/Regie|Text|Filmnr.
757|Regie|FARAMIR shakes his head.|3
760|Regie|FARAMIR NODS.|3
766|Regie|GANDALF, deeply troubled.|3
770|Regie|FRODO and SAM following GOLLUM up the dizzying STAIRWAY, carved into the SHEER CLIFF.|3
771|Regie|The STEPS are NARROW, UNEVENLY SPACED, and many are BROKEN. They are so STEEP that FRODO and SAM climb as if on a LADDER their desperate FINGERS clinging to the STEPS ABOVE - trying not to look at the LONG BLACK FALL below them.|3
772|Regie|FRODO'S foot slips and for a brief moment he is HANGING PRECARIOUSLY from the ROCK-FACE.|3
775|Regie|GOLLUM peering down from ABOVE he has reached a SMALL LEDGE.|3
781|Regie|GOLLUM rears back in shock tenses like a CAT, EYES WIDENING.|3
783|Regie|FRODO, head bowed, trying to pull himself up. He doesn't notice GOLLUM'S HAND reaching for the RING .|3
784|Regie|GOLLUM'S FINGERS closing in on the RING.|3
785|Regie|SAM, still TEETERING on the PRECIPITOUS STAIRS DRAWS HIS SWORD.|3
787|Regie|STARTLED, FRODO looks down at SAM, losing his footing in the process.|3
789|Regie|SAM'S horrified face as.|3
790|Regie|GOLLUM'S out-stretched HAND suddenly GRASPS FRODO'S ARM pulling him SAFELY onto the LEDGE.|3
791|Regie|GOLLUM glares down at SAM.|3
793|Regie|GOLLUM blinks, masking the MALICE of his EYES with their heavy pale lids.|3
798|Regie|GOLLUM creeps CLOSE to FRODO and WHISPERS in his ear|3
800|Regie|FRODO looking at SAM his hand strays to his NECK, closing tight around the RING.|3
803|Regie|HIGH ABOVE OSGILIATH, the SINISTER PROFILE of the WITCH KING seated on a FELL BEAST as GOTHMOG stands, awaiting his orders.|3
806|Regie|SLOWLY the WITCH KING' S HEAD turns.|3
809|Regie|REACTIONS OF GONDORIAN SOLDIERS upon the MINAS TIRITH BATTLEMENTS AWE FEAR TERROR.|3
819|Regie|PIPPIN DRESSED in OVER-SIZED ARMOUR kneels before DENETHOR.|3
822|Regie|DENETHOR proffers his RING which PIPPIN kisses.|3
824|Regie|DENETHOR gently raises PIPPIN'S head DENETHOR'S eyes meet FARAMIR' S.|3
829|Regie|disloyalty with vengeance.|3
830|Regie|DENETHOR addresses his meal.|3
836|Regie|FARAMIR as he finally realises the truth.|3
839|Regie|For a brief second, DENETHOR seems to hesitate, then.|3
845|Regie|FARAMIR bows low to DENETHOR, then turns to leave, stops, turns back.|3
848|Regie|DENETHOR continues with his meal. FARAMIR exits.|3
851|Regie|HIGH above MINAS MORGUL, on the SMALL LEDGE next to the STAIRS, LIE the FIGURES of FRODO, SAM and GOLLUM.|3
852|Regie|SAM watches a sleeping GOLLUM suspiciously as he desperately tries to stay awake. SLOWLY, INEVITABLY, SAM, falls asleep.|3
853|Regie|GOLLUM'S EYES SNAP OPEN he sits up and quietly crawls towards SAM'S KNAPSACK.|3
854|Regie|SAM breathes deeply now, heavily asleep.|3
855|Regie|GOLLUM grimaces in DISTASTE as he pulls out the LEMBAS BREAD . Quietly he SPRINKLES CRUMBS over the sleeping SAM.|3
856|Regie|GOLLUM as he throws the remaining LEMBAS BREAD over the cliff.|3
857|Regie|SAM'S EYES flick open GOLLUM spins around, caught off guard.|3
864|Regie|Too exhausted to argue, SAM turns away.|3
866|Regie|SAM gently shakes FRODO'S shoulder. -|3
868|Regie|SAM rummages through his KNAPSACK, looking for a bite to eat. FRODO sits up slowly.|3
871|Regie|SAM stops rummaging SHOCK on his face.|3
876|Regie|SAM slowly turns to GOLLUM.|3
881|Regie|GOLLUM slaps his hand against SAM'S JACKET sending LEMBAS CRUMBS RAINING DOWN.|3
884|Regie|SAM is ENRAGED he throws himself at GOLLUM punching him.|3
889|Regie|FRODO pulls SAM off GOLLUM.|3
892|Regie|FRODO COLLAPSES on the GROUND.|3
893|Regie|SAM'S horrified face.|3
895|Regie|SAM attempts to fuss around FRODO.|3
898|Regie|A terrible light comes into FRODO'S eyes as he STARES into the EARNEST eyes of SAM.|3
900|Regie|FRODO pushes SAM away, clutching at the RING beneath his shirt|3
905|Regie|FRODO rises to his FEET, as if empowered with a frightening intense ENERGY.|3
908|Regie|FRODO.|3
910|Regie|SAM stares at FRODO with DISBELIEF.|3
912|Regie|TEARS WELL in SAM'S eyes.|3
917|Regie|TEARS spill down SAM'S cheeks as FRODO TURNS AWAY.|3
922|Regie|FARAMIR leading a COLUMN of 200 KNIGHTS through the STREETS towards the CITY GATE PEOPLE are rushing forward, THROWING FLOWERS over the KNIGHTS.|3
923|Regie|GANDALF hurries alongside FARAMIR'S HORSE.|3
926|Regie|GANDALF reads the PAIN in FARAMIR'S eyes he calls after him, trying one more time to stop the YOUNG MAN.|3
929|Regie|FARAMIR leads the 200 MOUNTED KNIGHTS through the GATES OF MINAS TIRITH and across the PELENNOR FIELDS towards the RUINS of OSGILIATH.|3
930|Regie|The people of MINAS TIRITH watch from the BATTLEMENTS.|3
931|Regie|FARAMIR'S KNIGHTS FAN OUT to form one straight line of 200 HORSEMEN.|3
933|Regie|GOTHMOG and his MEN watch as the KNIGHTS approach.|3
937|Regie|FAST PUSH IN to PIPPIN looking on as DENETHOR eats.|3
941|Regie|PIPPIN'S simple, clear voice echoes through the VAST HALL.|3
945|Regie|TRACKING WITH THE 200 MOUNTED KNIGHTS.|3
946|Regie|GOTHMOG rises amidst the RUINS of OSGILIATH.|3
947|Regie|FARAMIR'S KNIGHTS - 75 yards away - thundering towards camera.|3
951|Regie|FARAMIR YELLING defiantly.|3
952|Regie|FARAMIR'S 200 KNIGHTS ride straight into a BLACK WALL of FLYING ARROWS.|3
953|Regie|AS ONE, the HORSES and HORSEMEN collapse into a CARTWHEELING, TUMBLING HEAP within seconds all are MOTIONLESS.|3
954|Regie|FAST CUTS of SCREAMING ORCS.|3
956|Regie|THROUGHOUT the above sequence DENETHOR has continued to EAT.|3
957|Regie|PIPPIN finishes his bittersweet song he looks up at DENETHOR who continues as if he has not sent his son to his death.|3
958|Regie|PIPPIN turns away, his SORROW etched on his YOUNG FACE.|3
960|Regie|GANDALF sits quietly in a COURTYARD, alone, defeated.|3
962|Regie|GREAT SIEGE TOWERS and CATAPULTS are ROLL along the REPARIED BRIDGE which spans both sides of OSGILIATH They head straight towards MINAS TIRITH.|3
964|Regie|ARAGORN, THEODEN, EOMER, MERRY, LEGOLAS and GIMLI GALLOP into a VAST CAMP beneath the COVER OF TREES TEEMING with MEN, HORSES and TENTS.|3
965|Regie|THEODEN acknowledges GRIMBOLD, a MARSHALL OF ROHAN, as he passes by a GROUP of SOLDIERS.|3
972|Regie|THEODEN smiles grimly as he rides on.|3
976|Regie|ARAGORN joins THEODEN on a BLUFF overlooking the ENCAMPMENT BELOW.|3
977|Regie|THOUSANDS of MEN and HORSES. Smoke from many small CAMP-FIRES has filled the VALLEY with a TWILIGHT HAZE.|3
979|Regie|ARAGORN turns to THEODEN.|3
986|Regie|THEODEN realising what ARAGORN is saying - no matter the numbers he must commit to war by the morning. THEODEN nods.|3
987|Regie|The HORSES whinny loudly in the distance THEODEN looks up at the MOUNTAIN which looms behind them.|3
989|Regie|HORSES rearing in terror as ROHAN SOLDIERS try to quieten them.|3
990|Regie|LEGOLAS and GIMLI move through the CAMP.|3
991|Regie|LEGOLAS looking at a group of ROHAN SOLDIERS they sit quiet and hunched no-one speaking.|3
992|Regie|LEGOLAS looking toward EOMER who is unsaddling his HORSE.|3
995|Regie|GIMLI'S eyes travel to a ROW of ANCIENT STANDING STONES that mark the ENTRANCE to a ROAD leading away from the ENCAMPMENT and INTO the MOUNTAIN.|3
1002|Regie|ARAGORN stands before the road as though transfixed before him a HORSE whinnies and pulls at his ropes nervously.|3
1003|Regie|A GHOSTLY FIGURE seems to emerge from the gloom ARAGORN starts in fright as.|3
1005|Regie|ARAGORN stares down at the LITTLE DWARF.|3
1007|Regie|ARAGORN casts another look back at the ANCIENT STANDING STONES before following GIMLI.|3
1009|Regie|All is quiet in the ENCAMPMENT.|3
1011|Regie|EOWYN kneels before MERRY, adjusting his HELMET STRAP.|3
1013|Regie|MERRY exhales - excited and terrified in equal measure. In his EXCITEMENT, he draws his SWORD.|3
1014|Regie|EOWYN steps back, laughing.|3
1020|Regie|As EOWYN and MERRY leave the tent, EOMER and GAMLING are sitting nearby, finishing a meal EOWYN ushers MERRY off.|3
1022|Regie|MERRY hurries off EOMER watches the YOUNG HOBBIT leave.|3
1026|Regie|GAMLING stifles a laugh EOWYN turns on both of te . hm .|3
1028|Regie|At the PLATEAU edge, a GUARD looks down the STEEP PRECIPICE as a HORSE and RIDER move along the RIDGE.|3
1030|Regie|The HOODED FIGURE slowly RIDES up the NARROW ZIG- ZAG TRACK leading up to the PLATEAU.|3
1035|Regie|In ARAGORN'S dream ARWEN suddenly WAKES.|3
1037|Regie|As ARWEN lies dying, the EVENSTAR falls from her fingers At that moment, ARAGORN wakes, his SWORD quickly in his HAND A GUARD stands in the DOORWAY.|3
1040|Regie|ARAGORN hurries towards THEODEN'S TENT.|3
1042|Regie|- THEODEN looks up as ARAGORN enters.|3
1044|Regie|THEODEN bows slightly to the HOODED FIGURE and LEAVES, shooting ARAGORN a strange look as he goes.|3
1045|Regie|The FIGURE stands and pulls back the HOOD to reveal ELROND.|3
1048|Regie|ELROND'S face is ETCHED with PAIN.|3
1054|Regie|ELROND'S eyes fall to the EVENSTAR which hangs around ARAGORN'S neck.|3
1058|Regie|ARAGORN looks at ELROND in shock.|3
1060|Regie|A FLEET of BLACK SAILS moving along a SILVER RIBBON of WATER .|3
1063|Regie|ELROND hesitates a BEAT.|3
1067|Regie|A SUDDEN WIND rushes through the TENT, lifting HANGINGS, scattering MAPS, knocking over GOBLETS.|3
1068|Regie|As ARAGORN looks at ELROND, an IMAGE FLASHES in his MIND'S EYE The GHOSTLY FIGURE on the DIMHOLT ROAD.|3
1069|Regie|ARAGORN looks at ELROND in shock.|3
1072|Regie|ARAGORN' S eyes fall to a PLAIN BLACK SCABBARD, which ELROND draws from beneath his robes.|3
1073|Regie|ELROND' S long white fingers draw the hilt of a SWORD from the scabbard to reveal a ELVEN SWORD glints in the firelight.|3
1075|Regie|ARAGORN takes the sword staring at it in wonder.|3
1077|Regie|ARAGORN draws the long blade from its sheath.|3
1083|Regie|ELROND stares hard at ARAGORN.|3
1085|Regie|A HEAVY SILENCE hangs in the room.|3
1087|Regie|ARAGORN re-sheathes the SWORD.|3
1089|Regie|As ARAGORN readies BREGO for leaving EOWYN approaches her temper barely held in check.|3
1091|Regie|ARAGORN looks over his shoulder at her.|3
1099|Regie|ARAGORN looks at her sadly, not wanting to hurt her.|3
1101|Regie|EOWYN steps back at though STRUCK she watches stricken as ARAGORN leaves.|3
1103|Regie|ARAGORN leads his horse through the TENTS towards the DIMHOLT ROAD.|3
1104|Regie|A LIGHT FLARES ahead.of him.|3
1105|Regie|A SHORT FIGURE steps out of the SHADOWS PIPE in hand.|3
1107|Regie|ARAGORN looks at GIMLI - GRATEFUL for his COURAGE but determined to go ALONE.|3
1114|Regie|ARAGORN shakes his head, smiling his acceptance.|3
1115|Regie|ARAGORN, LEGOLAS and GIMLI as they slowly ride towards the BACK of the PLATEAU Past the ANCIENT STANDING STONES that lead to the NARROW PASS.|3
1117|Regie|THEODEN and GAMLING watch the RETREATING FIGURES of ARAGORN, LEGOLAS and GIMLI ROHAN SOLDIERS emerge from their tents, crestfallen to see ARAGORN leave.|3
1118|Regie|ARAGORN, LEGOLAS and GIMLI disappear into the SHADOWS of the MOUNTAINS. The ROHAN SOLDIERS murmur among themselves, "What's happening?", "Where's he going?"|3
1122|Regie|THEODEN as he moves forward.|3
1129|Regie|THEODEN looks at EOWYN who stands as if turned to stone she is looking up at a LIGHTENING SKY The QUIET before the MEN depart for WAR.|3
1131|Regie|EOWYN turns to the KING her FACE a BLANK She speaks without emotion.|3
1133|Regie|THEODEN moves towards her, taking up her HAND.|3
1135|Regie|EOWYN slowly lifts her head.|3
1137|Regie|THEODEN lifts EOWYN faces to look into her EYES.|3
1140|Regie|ARAGORN, LEGOLAS and GIMLI make their way up a. GLOOMY CANYON, shadowed by BLACK FIR TREES. The shadowed ridges of the DWIMORBERG MOUNTAIN rise BEFORE THEM.|3
1145|Regie|SILENCE surrounds them, there are no birds, no wind. Only the OMINOUSLY MUFFLED THUD of their horses hooves on the dank FIR- NEEDLES. '|3
1147|Regie|Before them, at the ROOT OF THE MOUNTAIN, a SHEER WALL of ROCK towers.|3
1149|Regie|Within the walls, a creepy DARK DOOR gapes like a mouth of night. SIGNS and FIGURES are carved above its WIDE ARCH.|3
1151|Regie|AT THAT MOMENT A CHILL WIND seems to rush out of the DOORWAY ARAGORN stares into the BLACKNESS, his HAIR BLOWING WILDLY. The HORSES REAR and'BUCK'in terror, turning and GALLOPING AWAY.|3
1157|Regie|ARAGORN WALKING into the BLACKNESS.|3
1158|Regie|LEGOLAS quickly follows swallowed by the DARKNESS.|3
1159|Regie|GIMLI left ALONE He hesitates, struggling with hi FEAR.|3
1161|Regie|GIMLI plunges into the TUNNEL behind the OTHERS.|3
1163|Regie|MUCH ACTIVITY HORNS SOUND the ENTIRE CAMP is on the MOVE fires are DOUSED, TENTS pulled down, HORSES saddled.|3
1165|Regie|THEODEN strides through the CAMP, EOMER at his SIDE.|3
1167|Regie|MERRY preparing a LITTLE PONY with a SADDLE and SUPPLIES. He is wearing an OVERSIZED HELMET and ROHIRRIM CLOTHING he looks at once NERVOUS and EXCITED.|3
1168|Regie|KING THEODEN breaks away from a COLUMN and rides up to MERRY.|3
1177|Regie|KING THEODEN wheels his HORSE away.|3
1178|Regie|MERRY is bitterly DISAPPOINTED. He stands, head down - a TINY DEJECTED FIGURE - as the MIGHTY ROHIRRIM on their LARGE HORSES ride by a jangling sea of HELMETS, SHIELDS and BANNERS.|3
1179|Regie|SUDDENLY MERRY is plucked off the ground. A SOLDIER has snatched him by the collar and plonked him down on their SADDLE.|3
1180|Regie|MERRY twists around, looking up at the SOLDIER Beneath a HELMET and MAIL HOOD is.|3
1181|Regie|EOWYN, disguised as a MAN.|3
1184|Regie|MERRY'S face visible under the CAPE looking EXCITED.|3
1190|Regie|The VALLEY FLOOR as THOUSANDS of HORSEMEN ride out after their KING.|3
1192|Regie|GREAT SIEGE TOWERS and CATAPULTS are ROLLING across the PELENNOR FIELDS Thousands of FLAMING TORCHES light the snarling, slathering MORGUL ORCS marching in RAGGED RANKS.|3
1193|Regie|Flowing torrents of ORCS stream past CAVE TROLLS, beating the DRUMS OF WAR MINAS TIRITH lies ahead - only TWO MILES AWAY.|3
1195|Regie|ARAGORN leads LEGOLAS and GIMLI into a WIDE CAVERN he WAVES HIS TORCH through the DARKNESS ILLUMINATING a HUGE, CAVERN.|3
1196|Regie|A ghastly CRACKING NOISE, like stone being sundered, cuts through the SILENCE.|3
1198|Regie|ARAGORN, LEGOLAS and GIMLI look on in HORROR, as a MUMMIFIED SPECTRE looms before them EYELESS SOCKETS ROTTEN TEETH a pale SICKLY GLOW the KING OF THE DEAD.|3
1199|Regie|FOG SWIRLS around as the GHOST SNARLS at ARAGORN.|3
1201|Regie|ARAGORN moves forward unflinching.|3
1207|Regie|The KING OF THE DEAD's'MALEVOLENT LAUGH echoes through the CVS AE|3
1208|Regie|The FOG suddenly ROLLS BACK, forming a retreating wall of GREY VAPOUR slowly, RANK upon RANK of SPECTRAL WARRIORSare revealed. GHOULISH FACES RUSTING WEAPONS TATTERED BANNERS.|3
1209|Regie|The FOG reveals a DEAD ARMY of MANY THOUSANDS assembled around the CAVERN.|3
1210|Regie|ARAGORN stares GRIMLY at the KING OF THE DEAD.|3
1211|Regie|THE KING of the DEAD as he smiles evilly at ARAGORN ARAGORN holds his GAZE.|3
1213|Regie|THE KING of the DEAD moves relentlessly towards ARAGORN.|3
1215|Regie|ARAGORN, LEGOLAS and GIMLI are now surrounded by~an ".' ARMY of the DEAD.|3
1217|Regie|LEGOLAS fires an ARROW at the KING OF THE DEAD it PASSES STRAIGHT THROUGH.|3
1222|Regie|The KING OF THE DEAD SNARLS and raises his DEADLY SWORD above ARAGORN' S HEAD.|3
1224|Regie|ARAGORN RAISES ANDURIL.|3
1225|Regie|With a TERRIFYING SHRIEK, THE KING of the DEAD SWEEPS his SWORD towards ARAGORN' S HEAD.|3
1226|Regie|ARAGORN raises 'his SWORD in ANSWER a LOW WHISTLE as it SWEEPS through the AIR.|3
1227|Regie|CLANG. The BLADE OF ANDURIL clashes with the SPECTRAL SWORD the SHARP RING of METAL reverberates through the CAVERNS .|3
1229|Regie|THE KING of the DEAD stares at ARAGORN in DISBELIEF.|3
1231|Regie|ARAGORN grabs the SHOCKED GHOST by the NECK.|3
1232|Regie|ARAGORN holds the SHARP BLADE against the GHOST'S THROAT.|3
1234|Regie|SILENCE.|3
1235|Regie|ARAGORN releases the KING OF THE DEAD he ADDRESSES the GHOST ARMY.|3
1239|Regie|GHOSTLY FACES stare hollow-eyed at ARAGORN.|3
1241|Regie|SILENCE.|3
1246|Regie|THOUSANDS of ORCS continue moving relentlessly forward Towards the WALLS of MINAS TIRITH.|3
1248|Regie|A GUARD yells down from the PARAPET above the HUGE WOODEN GATE.|3
1250|Regie|The HUGE GATE swings open, revealing FARAMIR'S badly wounded HORSE dragging FARAMIR behind. Both the HORSE and FARAMIR are impaled with ORC ARROWS.|3
1256|Regie|As CATAPULTS are prepared GOTHMOG rides through the ranks of ORCS.|3
1258|Regie|IORLAS and OTHER SOLDIERS arrive at the CITADEL with FARAMIR'S UNCONSCIOUS BODY on a STRETCHER PIPPIN follows them.|3
1259|Regie|. he runs DENETHOR EMERGES from the TOWER HALL . towards his son.|3
1261|Regie|DENETHOR bends to the STRETCHER bearing his SON.|3
1264|Regie|PIPPIN, devastated.|3
1266|Regie|GOTHMOG turns to his LIEUTENANTS.|3
1269|Regie|At his ORDERS, the GREAT CATAPULTS fire THWAT. THWAT. THWAT.|3
1273|Regie|The ORC CATAPULTS do not fire rocks.|3
1274|Regie|HORROR sweeps through the streets of MINAS TIRITH as the SEVERED HEADS of FARAMIR'S HORSEMEN land amongst the SOLDIERS.|3
1276|Regie|DENETHOR looks down at FARAMIR'S UNCONSCIOUS BODY.|3
1278|Regie|PIPPIN has run to FARAMIR and bends towards him.|3
1284|Regie|DENETHOR slowly turning away walking as if in a TRANCE.|3
1285|Regie|DENETHOR has reached the edge of the COURTYARD he STARES in SHOCKED DISBELIEF at the VISTA spread out BELOW|3
1286|Regie|A FULL VIEW of the ORC ARMY from the TOP of MINAS'TIRITH.|3
1290|Regie|75,000 ORCS are spread out across the PELENNOR FIELDS like a sea of black ANTS.|3
1291|Regie|TROLLS load the CATAPULTS with ROCKS.|3
1292|Regie|BATTERING RAMS and SIEGE TOWERS are hauled on CHAINS. Thousands of flickering TORCHES give the army the look of a moving city in the MURKY MORDOR TWILIGHT.|3
1293|Regie|DENETHOR struggling to regain the power of speech.|3
1295|Regie|A HUGE BOULDER smashes into the wall of MINAS TIRITH.|3
1296|Regie|BOULDERS HURTLE from CATAPULTS across the fields towards MINAS TIRITH.|3
1298|Regie|A BOULDER smashes into a BALCONY full of CIVILIANS.|3
1299|Regie|CONFUSION and PANIC spreads amongst the SOLDIERS.|3
1301|Regie|PIPPIN, SHOCKED.|3
1304|Regie|SUDDENLY THWACK.|3
1305|Regie|GANDALF'S STAFF smashes into the back of DENETHOR'S HEAD. GANDALF grimly swings his staff again, CLUBBING DENETHOR to the GROUND.|3
1311|Regie|GANDALF GALLOPS down the WINDING LABYRINTHINE STREETS on SHADOWFAX against the flow of FLEEING SOLDIERS.|3
1315|Regie|SHADOWFAX bounds up STAIRS onto the LEVEL ONE BATTLEMENTS GANDALF looks at the approaching ORC ARMY, now less than 50 yards from the WALLS of the CITY.|3
1317|Regie|MIGHTY WOODEN CATAPULTS positioned within the walls of MINAS TIRITH are fired.|3
1319|Regie|THWAT. THWAT. THWAT. CATAPULTS send their great ROCKS high into the air, over the BATTLEMENTS.|3
1320|Regie|Dizzying AERIAL SHOTS of huge BOULDERS flying up close to CAMERA then falling away towards the ORCS.|3
1321|Regie|CRUNCH BOULDERS flatten ORCS. THWAT 100 more ROCKS THWAT another 1 0 0 The ORC FRONT RANKS are in disarray.|3
1323|Regie|As the great bloulders land among them the Orc start to panic.|3
1329|Regie|GANDALF walks the BATTLEMENTS as the huge BOULDERS rain onto the ORC ARMY below.|3
1332|Regie|GOTHMOG glances up at a WHISTLING SOUND - a huge BOULDER hurtles towards him. He side-steps CALMLY out of the way spitting on the BOULDER in CONTEMPT.|3
1335|Regie|SUDDENLY. 9 NAZGUL DIVE out of the DIM SKY, CLAD in BATTLE ARMOUR.|3
1336|Regie|SOLDIERS throw themselves down as the NAZGUL zoom overhead, emitting their PIERCING SHRIEKS. GONDORIAN SOLDIERS run for SHELTER in PANIC, covering their ears.|3
1337|Regie|PIPPIN COWERING.|3
1339|Regie|MIGHTY WOODEN CATAPULTS positioned within the walls of MINAS TIRITH are fired.|3
1340|Regie|The NAZGUL circle LOW over the CITY, like VULTURES seeking doomed men's flesh. SOLDIERS are plucked into the AIR by SHRIEKING NAZGUL and dropped to their DEATHS hundreds of FEET BELOW. TOWERS and BUILDINGS are DESTROYED. CHAOS as SOLDIERS, WOMEN and CHILDREN DODGE falling MASONRY.|3
1345|Regie|TOO LATE. The TOWERS reach the walls, their DOORS crashing down, releasing ORCS directly onto the LOWER LEVELS.|3
1346|Regie|As the ORC swarm from the TOWER, GANDALF realises PIPPIN has come down from the CITADEL.|3
1349|Regie|PIPPIN looks on stunned, as a HUGE ORC leaps towards him GANDALF intercepts the BEAST, striking him with his STAFF.|3
1351|Regie|GANDALF welds his STAFF, cutting through the attacking ORC with EASE BEHIND him, an ORC prepares to cut down GANDALF PIPPIN instinctively slashes his SWORD at him.|3
1352|Regie|GANDALF turns on PIPPIN, smiling despite himself.|3
1356|Regie|Out of BLACK SWIRLING BATTLE. SMOKE crawls an IRON MONSTER. A MASSIVE WHEELED BATTERING RAM . 60 FEET HIGH and 150 FEET LONG pushed by 20 huge MOUNTAIN TROLLS a MASSIVE IRON HEAD, cast in the likeness of a SNARLING WOLF.|3
1359|Regie|this is GROND the BATTERING RAM FROM HELL. The Ore are chanting as the BEAST is wheeled closer and closer to the GATES.|3
1362|Regie|GANDALF blanching at the sight of this crawling IRON MONSTER"'.|3
1365|Regie|GOLLUM leads FRODO up a LONG RAVINE between COLUMNS of TORN and WEATHERED ROCK.|3
1366|Regie|AHEAD is a GREAT GREY WALL, a last huge mass of mountain- stone and in the SHADOWS at the base of the TOWERING ROCK lies a TUNNEL.|3
1367|Regie|FRODO reacts to the FOUL STENCH coming out of the BLACK HOLE.|3
1371|Regie|SMEAGOL sensing his PLAN unravelling. Everything depends on FRODO going inside the TUNNEL|3
1373|Regie|FRODO stares into the darkness.|3
1377|Regie|GOLLUM, his sparse oily hair hanging like rank weed over his hooded eyes.|3
1378|Regie|Drawing a DEEP BREATH, FRODO follows GOLLUM into the TUNNEL.|3
1380|Regie|FRODO nearly GAGS|3
1383|Regie|They continue on, deep into the DARK TUNNEL FRODO is feeling his way in the dark, following the SOUND ,of GOLLUM'S scampering , ,.|3
1385|Regie|FRODO follows the sound of GOLLUM's voice. He is VERY TIRED.|3
1387|Regie|FRODO cannot see GOLLUM in the MURKY TUNNEL.|3
1395|Regie|GOLLUM is nowhere to be seen only his voice echoes back down the LABYRINTH of TUNNELS.|3
1397|Regie|FRODO FREEZES.|3
1399|Regie|NO ANSWER, no echo, not even a tremor in the air.|3
1401|Regie|FRODO realises with HORROR that GOLLUM has deserted him.|3
1403|Regie|FRODO breathing hard passing all manner of creatures, trussed up in evil WEB-LIKE material.|3
1404|Regie|A BUBBLING HISS can be heard There is a CREAKING as some great JOINTED THING moves with slow purpose in the DARK.|3
1405|Regie|FRODO begins to run in BLIND PANIC.|3
1410|Regie|SAM stumbles blindly down the ANCIENT STAIRS, reckless and uncaring, his face pale and devastated.|3
1411|Regie|SAM'S FOOT slips.|3
1412|Regie|SUDDENLY, as if the ground has given way beneath him, SAM is slipping and sliding dangerously OUT OF CONTROL.|3
1413|Regie|SAM thudding into a LARGE ROCK, which saves him. from tumbling headlong over the PRECIPICE.|3
1414|Regie|Something catches SAM'S EYE he stares, barely breathing.|3
1415|Regie|A package of LEMBAS BREAD.|3
1416|Regie|SAM looking BACK UP the LONG STEEP STAIR.|3
1419|Regie|FRODO is running BLINDLY He falls, trapped in the sticky substance which CLINGS to him. As he lays on the ground, unable to move, a VOICE comes to him as if froma distant-,, memory.|3
1421|Regie|FRODO fumbles in his JACKET, FEAR growing in him he pulls out the GLASS PHIAL - his GIFT from GALADRIEL - he holds it aloft.|3
1423|Regie|The PHIAL flickers kindles into a SILVER FLAME - a BRIGHT RADIANT STARLIGHT.|3
1428|Regie|SHELOB the SPIDER HISSES at the LIGHT. TWO great clusters of many-windowed EYES protrude from her bulbous head. Her LEGS are bent, with a 12 FOOT SPAN and HAIRS that stick out like steel spines. Her HUGE, SWOLLEN BODY, a vast bloated bag, sways and sags between her legs. Her age-old BLACK HIDE is knobbly and pitted, blotchy with LIVID MARKS but her belly underneath is PALE and LUMINOUS.|3
1429|Regie|SHELOB beats the air with her FORELEGS.|3
1430|Regie|Calling up all his remaining STRENGTH and RESOLUTION, FRODO forces his LEGS to MOVE he backs away - keeping his EYES on SHELOB.|3
1431|Regie|SHELOB crawls SLOWLY towards him then, with sudden . hideous SPEED, she ATTACKS.|3
1432|Regie|She lashes out with her FRONT LEGS FRODO is flung back the GLASS PHIAL clatters to the TUNNEL FLOOR, casting an eerie LOW LIGHT.|3
1433|Regie|SHELOB squats above FRODO, her EYE CLUSTERS fidgeting with hideous delight, gloating over a prey trapped beyond all hope of escape.|3
1434|Regie|SUDDENLY. FRODO draws STING. He slashes wildly at the GIANT SPIDER hewing off the TIP of A LEG.|3
1435|Regie|SHELOB SPASMS a WILD BLUR of thrashing LEGS.|3
1436|Regie|FRODO leaps to his feet and RUNS - not even pausing to pick up the PHIAL of LIGHT.|3
1437|Regie|with FRODO as he careers blindly down NARROW TUNNELS, gasping in the CHOKING AIR looking back over his shoulder for any sign of SHELOB.|3
1438|Regie|FRODO sees the TUNNEL EXIT ahead.|3
1439|Regie|just as he runs straight into a great COBWEB.|3
1445|Regie|GOLLUM on the other side of the WEB.|3
1447|Regie|FRODO as he SLASHES WILDLY with STING. The SHINING BLADE of STING as it hacks through the FIBROUS STRANDS. They whip and snap back into FRODO'S FACE as he cuts himself free.|3
1448|Regie|Back up the TUNNEL - lit by the LIGHT OF GALADRIEL - SHELOB'S HEAVING SHADOW approaches.|3
1449|Regie|GOLLUM watches in mounting disbelief as STING slashes through the WEB DISBELIEF turns to FEAR as SHELOB gets closer and closer, GOLLUM quickly turns and BOLTS.|3
1450|Regie|FRODO hacks at the WEB and with a last desperate LUNGE, frees himself STING is caught in the WEB FRODO leaves the SWORD and THROWS HIMSELF through a narrow CREVICE.|3
1452|Regie|FRODO stumbles out of SHELOB'S LAIR Tumbling onto COLD ROCK.|3
1453|Regie|FRODO covered in COBWEBS, wild-eyed and drenched in SWEAT - H e looks up as GOLLUM lunges at him.|3
1455|Regie|GOLLUM and FRODO fight Rolling on the GROUND towards the EDGE of a PRECIPICE.|3
1460|Regie|FRODO'S fingers squeeze tighter around GOLLUM'S THROAT.|3
1462|Regie|FRODO has a sudden moment of SELF REALISATION and releases GOLLUM, horrified at his VIOLENCE.|3
1463|Regie|GOLLUM cowering back COUGHING and SPLUTTERING.|3
1464|Regie|FRODO looking at SMEAGOL, in SHOCK, he gets to his FEET.|3
1466|Regie|SMEAGOL stares at FRODO in DISBELIEF in a FURY he LUNGES at FRODO who falls backwards, dangerously close to the edge of the PRECIPICE - GOLLUM tumbles over FRODO's BODY and FALLS to the bottom of the RAVINE.|3
